Cohort,Night,AID,Sex,Cage,Feeding station,Treatment,Treatment of opposite feeding station,Carryover,Duration (sec),Food hopper time (sec),Feeding station time (sec)
1,1,RNF001,F,4,West,Control,Possum,Control,39600,94.3,2894.8
1,1,RNF001,F,4,East,Possum,Control,Control,39600,243.3,85
1,2,RNF001,F,4,West,Cat,Control,Control,39600,0,157.1
1,2,RNF001,F,4,East,Control,Cat,Possum,39600,2193.6,223.6
1,3,RNF001,F,4,West,Control,Control,Cat,39600,5.6,529.5
1,3,RNF001,F,4,East,Control,Control,Control,39600,1948.1,118.2
1,4,RNF001,F,4,West,Cat,Cat,Control,39600,7.2,1655.5
1,4,RNF001,F,4,East,Cat,Cat,Control,39600,1232.1,668.6
1,5,RNF001,F,4,West,Cat,Possum,Cat,39600,0,223.5
1,5,RNF001,F,4,East,Possum,Cat,Cat,39600,2570.6,1407.4
1,6,RNF001,F,4,West,Possum,Control,Cat,39600,0,1087.4
1,6,RNF001,F,4,East,Control,Possum,Possum,39600,2341.8,734.5
1,7,RNF001,F,4,West,Possum,Possum,Possum,39600,281.3,1285.9
1,7,RNF001,F,4,East,Possum,Possum,Control,39600,3838.9,156.5
1,8,RNF001,F,4,West,Control,Cat,Possum,39600,0,878.7
1,8,RNF001,F,4,East,Cat,Control,Possum,39600,871.4,1724.3
1,9,RNF001,F,4,West,Possum,Cat,Control,39600,19.5,809.3
1,9,RNF001,F,4,East,Cat,Possum,Cat,39600,2156.9,1522
1,1,RNF003,F,3,West,Cat,Cat,Control,39600,2452.3,814.2
1,1,RNF003,F,3,East,Cat,Cat,Control,39600,11.2,67.2
1,2,RNF003,F,3,West,Control,Cat,Cat,39600,3671.6,3738.4
1,2,RNF003,F,3,East,Cat,Control,Cat,39600,7.7,23
1,3,RNF003,F,3,West,Cat,Control,Control,39600,3382.8,83.7
1,3,RNF003,F,3,East,Control,Cat,Cat,39600,19.1,27
1,4,RNF003,F,3,West,Cat,Possum,Cat,39600,3875.5,708.2
1,4,RNF003,F,3,East,Possum,Cat,Control,39600,512.2,2175.6
1,5,RNF003,F,3,West,Control,Control,Cat,39600,2263.5,3594.6
1,5,RNF003,F,3,East,Control,Control,Possum,39600,1264.6,1348.4
1,6,RNF003,F,3,West,Possum,Cat,Control,39600,3242.8,1749.4
1,6,RNF003,F,3,East,Cat,Possum,Control,39600,1978,3841.3
1,7,RNF003,F,3,West,Possum,Control,Possum,39600,2248.6,183.8
1,7,RNF003,F,3,East,Control,Possum,Cat,39600,1973.9,72.5
1,8,RNF003,F,3,West,Control,Possum,Possum,39600,1926.5,2889.9
1,8,RNF003,F,3,East,Possum,Control,Control,39600,1757.3,3036.2
1,9,RNF003,F,3,West,Possum,Possum,Control,39600,1491.7,2345.7
1,9,RNF003,F,3,East,Possum,Possum,Possum,39600,1602,5433.4
1,1,RNF004,F,1,West,Control,Control,Control,39600,0,566.3
1,1,RNF004,F,1,East,Control,Control,Control,39600,0,1.8
1,2,RNF004,F,1,West,Possum,Possum,Control,39600,0,574.8
1,2,RNF004,F,1,East,Possum,Possum,Control,39600,0,0
1,3,RNF004,F,1,West,Cat,Cat,Possum,39600,203.7,1135.1
1,3,RNF004,F,1,East,Cat,Cat,Possum,39600,0,0
1,4,RNF004,F,1,West,Control,Possum,Cat,39600,58.9,1180.2
1,4,RNF004,F,1,East,Possum,Control,Cat,39600,0,0
1,5,RNF004,F,1,West,Control,Cat,Control,39600,0,1056.3
1,5,RNF004,F,1,East,Cat,Control,Possum,39600,0,0
1,6,RNF004,F,1,West,Possum,Control,Control,39600,13.3,1102.4
1,6,RNF004,F,1,East,Control,Possum,Cat,39600,0,0.4
1,7,RNF004,F,1,West,Cat,Control,Possum,39600,8.1,817.2
1,7,RNF004,F,1,East,Control,Cat,Control,39600,0,0
1,8,RNF004,F,1,West,Possum,Cat,Cat,39600,0,988.2
1,8,RNF004,F,1,East,Cat,Possum,Control,39600,0,2.3
1,9,RNF004,F,1,West,Cat,Possum,Possum,39600,0,1108.6
1,9,RNF004,F,1,East,Possum,Cat,Cat,39600,0,77.6
1,1,RNF005,F,2,West,Possum,Possum,Control,39600,25.8,837.8
1,1,RNF005,F,2,East,Possum,Possum,Control,39600,543,2368.8
1,2,RNF005,F,2,West,Control,Possum,Possum,39600,1014.7,1416.4
1,2,RNF005,F,2,East,Possum,Control,Possum,39600,149.9,2170.1
1,3,RNF005,F,2,West,Possum,Control,Control,39600,694.4,568.1
1,3,RNF005,F,2,East,Control,Possum,Possum,39600,384.1,1086.2
1,4,RNF005,F,2,West,Possum,Cat,Possum,39600,682.6,242
1,4,RNF005,F,2,East,Cat,Possum,Control,39600,496.1,3286.7
1,5,RNF005,F,2,West,Control,Control,Possum,39600,322.1,1023.1
1,5,RNF005,F,2,East,Control,Control,Cat,39600,2416.3,1149.4
1,6,RNF005,F,2,West,Cat,Possum,Control,39600,635.9,382.6
1,6,RNF005,F,2,East,Possum,Cat,Control,39600,2064.6,1381.7
1,7,RNF005,F,2,West,Cat,Control,Cat,39600,883.2,372.2
1,7,RNF005,F,2,East,Control,Cat,Possum,39600,1320.2,610.7
1,8,RNF005,F,2,West,Control,Cat,Cat,39600,357.6,1151
1,8,RNF005,F,2,East,Cat,Control,Control,39600,2418.1,1467.5
1,9,RNF005,F,2,West,Cat,Cat,Control,39600,1598,693.8
1,9,RNF005,F,2,East,Cat,Cat,Cat,39600,2498.3,2416
2,1,RNF006,F,1,West,Control,Cat,Control,39600,50.2,431.7
2,1,RNF006,F,1,East,Cat,Control,Control,39600,0,19.7
2,2,RNF006,F,1,West,Cat,Possum,Control,39600,4248.3,605
2,2,RNF006,F,1,East,Possum,Cat,Cat,39600,96.7,484.6
2,3,RNF006,F,1,West,Possum,Possum,Cat,39600,1.6,414.2
2,3,RNF006,F,1,East,Possum,Possum,Possum,39600,45.7,364
2,4,RNF006,F,1,West,Possum,Control,Possum,39600,29.1,423.7
2,4,RNF006,F,1,East,Control,Possum,Possum,39600,0,118.8
2,5,RNF006,F,1,West,Cat,Cat,Possum,39600,2588.5,491.2
2,5,RNF006,F,1,East,Cat,Cat,Control,39600,0,10
2,6,RNF006,F,1,West,Possum,Cat,Cat,39600,0,391.6
2,6,RNF006,F,1,East,Cat,Possum,Cat,39600,2.6,40.7
2,7,RNF006,F,1,West,Control,Possum,Possum,39600,11.3,409.3
2,7,RNF006,F,1,East,Possum,Control,Cat,39600,0,6.3
2,8,RNF006,F,1,West,Control,Control,Control,39600,5.3,1454.3
2,8,RNF006,F,1,East,Control,Control,Possum,39600,0,25.3
2,9,RNF006,F,1,West,Cat,Control,Control,39600,7.8,1012
2,9,RNF006,F,1,East,Control,Cat,Control,39600,234.8,1167.7
3,1,RNF007,F,2,West,Control,Possum,Control,39600,28.3,258.4
3,1,RNF007,F,2,East,Possum,Control,Control,39600,7.2,1886.1
3,2,RNF007,F,2,West,Cat,Control,Control,39600,63.9,676.2
3,2,RNF007,F,2,East,Control,Cat,Possum,39600,631,2955.9
3,3,RNF007,F,2,West,Control,Control,Cat,39600,76.5,287
3,3,RNF007,F,2,East,Control,Control,Control,39600,473.4,2894.9
3,4,RNF007,F,2,West,Cat,Cat,Control,39600,16.4,296
3,4,RNF007,F,2,East,Cat,Cat,Control,39600,265.9,2392.5
3,5,RNF007,F,2,West,Cat,Possum,Cat,39600,26.2,318.9
3,5,RNF007,F,2,East,Possum,Cat,Cat,39600,605.2,2125.3
3,6,RNF007,F,2,West,Possum,Control,Cat,39600,2.7,123.4
3,6,RNF007,F,2,East,Control,Possum,Possum,39600,245.2,2118.2
3,7,RNF007,F,2,West,Possum,Possum,Possum,39593.1,8.3,99.4
3,7,RNF007,F,2,East,Possum,Possum,Control,39593.1,303.9,2533.2
3,8,RNF007,F,2,West,Control,Cat,Possum,39600,36.8,79.2
3,8,RNF007,F,2,East,Cat,Control,Possum,39600,97.9,3360.2
3,9,RNF007,F,2,West,Possum,Cat,Control,NA,NA,NA
3,9,RNF007,F,2,East,Cat,Possum,Cat,NA,NA,NA
3,1,RNF008,F,3,West,Cat,Cat,Control,39600,276.7,629.4
3,1,RNF008,F,3,East,Cat,Cat,Control,39600,1795.9,2162.8
3,2,RNF008,F,3,West,Control,Cat,Cat,39600,5085.6,2796.3
3,2,RNF008,F,3,East,Cat,Control,Cat,39600,716.6,1846
3,3,RNF008,F,3,West,Cat,Control,Control,39600,1658.4,3286.3
3,3,RNF008,F,3,East,Control,Cat,Cat,39600,1136.9,2836.5
3,4,RNF008,F,3,West,Cat,Possum,Cat,NA,NA,NA
3,4,RNF008,F,3,East,Possum,Cat,Control,NA,NA,NA
3,5,RNF008,F,3,West,Control,Control,Cat,39600,6539.7,2483.1
3,5,RNF008,F,3,East,Control,Control,Possum,39600,591.1,1907.5
3,6,RNF008,F,3,West,Possum,Cat,Control,39600,4989.1,1878.9
3,6,RNF008,F,3,East,Cat,Possum,Control,39600,408.8,1886.9
3,7,RNF008,F,3,West,Possum,Control,Possum,39600,5204.2,2522.7
3,7,RNF008,F,3,East,Control,Possum,Cat,39600,2102.4,1650.5
3,8,RNF008,F,3,West,Control,Possum,Possum,39600,797.7,660.9
3,8,RNF008,F,3,East,Possum,Control,Control,39600,3383.6,2352.2
3,9,RNF008,F,3,West,Possum,Possum,Control,39600,38.2,869.2
3,9,RNF008,F,3,East,Possum,Possum,Possum,39600,2953.5,1741.8
3,1,RNF009,F,5,West,Control,Control,Control,39600,6.1,247.7
3,1,RNF009,F,5,East,Control,Control,Control,39600,205.4,973.5
3,2,RNF009,F,5,West,Possum,Possum,Control,39600,0.7,29.3
3,2,RNF009,F,5,East,Possum,Possum,Control,39600,347.5,2102.4
3,3,RNF009,F,5,West,Cat,Cat,Possum,39600,33.7,67.3
3,3,RNF009,F,5,East,Cat,Cat,Possum,39600,801.7,3471.2
3,4,RNF009,F,5,West,Control,Possum,Cat,39600,16.5,59.4
3,4,RNF009,F,5,East,Possum,Control,Cat,39600,545.4,2294.4
3,5,RNF009,F,5,West,Control,Cat,Control,39600,13.1,209.5
3,5,RNF009,F,5,East,Cat,Control,Possum,39600,1050.9,1642.3
3,6,RNF009,F,5,West,Possum,Control,Control,39600,109.1,197.3
3,6,RNF009,F,5,East,Control,Possum,Cat,39600,857.4,2425.9
3,7,RNF009,F,5,West,Cat,Control,Possum,39600,59.7,472.8
3,7,RNF009,F,5,East,Control,Cat,Control,39600,647.4,1171.8
3,8,RNF009,F,5,West,Possum,Cat,Cat,NA,NA,NA
3,8,RNF009,F,5,East,Cat,Possum,Control,NA,NA,NA
3,9,RNF009,F,5,West,Cat,Possum,Possum,NA,NA,NA
3,9,RNF009,F,5,East,Possum,Cat,Cat,NA,NA,NA
4,1,RNF010,F,3,West,Possum,Possum,Control,39600,331.4,110.3
4,1,RNF010,F,3,East,Possum,Possum,Control,39600,2.7,389.3
4,2,RNF010,F,3,West,Control,Possum,Possum,39600,832.8,222.2
4,2,RNF010,F,3,East,Possum,Control,Possum,39600,11,178.3
4,3,RNF010,F,3,West,Possum,Control,Control,39600,743.1,359.1
4,3,RNF010,F,3,East,Control,Possum,Possum,39600,106.2,1284.7
4,4,RNF010,F,3,West,Possum,Cat,Possum,39600,662.2,143.9
4,4,RNF010,F,3,East,Cat,Possum,Control,39600,0,59.1
4,5,RNF010,F,3,West,Control,Control,Possum,39600,359.1,41.1
4,5,RNF010,F,3,East,Control,Control,Cat,39600,0,46.5
4,6,RNF010,F,3,West,Cat,Possum,Control,39600,979.7,74.5
4,6,RNF010,F,3,East,Possum,Cat,Control,39600,7.7,37.8
4,7,RNF010,F,3,West,Cat,Control,Cat,39600,395.9,139.6
4,7,RNF010,F,3,East,Control,Cat,Possum,39600,84.6,260.3
4,8,RNF010,F,3,West,Control,Cat,Cat,39600,303,508
4,8,RNF010,F,3,East,Cat,Control,Control,39600,3.8,508.9
4,9,RNF010,F,3,West,Cat,Cat,Control,39600,122.1,272.2
4,9,RNF010,F,3,East,Cat,Cat,Cat,39600,118.4,759
4,1,RNF011,F,5,West,Control,Cat,Control,39600,2188.5,1743.2
4,1,RNF011,F,5,East,Cat,Control,Control,39600,11.3,53.4
4,2,RNF011,F,5,West,Cat,Possum,Control,39600,188.6,413.7
4,2,RNF011,F,5,East,Possum,Cat,Cat,39600,1482.8,3586.2
4,3,RNF011,F,5,West,Possum,Possum,Cat,39600,1568,1180.2
4,3,RNF011,F,5,East,Possum,Possum,Possum,39600,362.4,1374.9
4,4,RNF011,F,5,West,Possum,Control,Possum,39600,1366.1,928.7
4,4,RNF011,F,5,East,Control,Possum,Possum,39600,553,1291.5
4,5,RNF011,F,5,West,Cat,Cat,Possum,39600,998.9,1564
4,5,RNF011,F,5,East,Cat,Cat,Control,39600,655.7,2331.9
4,6,RNF011,F,5,West,Possum,Cat,Cat,39600,575.2,330.7
4,6,RNF011,F,5,East,Cat,Possum,Cat,39600,742.1,1793.5
4,7,RNF011,F,5,West,Control,Possum,Possum,39600,2141.3,434.4
4,7,RNF011,F,5,East,Possum,Control,Cat,39600,721,2175.3
4,8,RNF011,F,5,West,Control,Control,Control,39600,1181.1,522.2
4,8,RNF011,F,5,East,Control,Control,Possum,39600,1283.5,2080.6
4,9,RNF011,F,5,West,Cat,Control,Control,39600,24.6,681.9
4,9,RNF011,F,5,East,Control,Cat,Control,39600,946.6,3906.4
2,1,RNM013,M,2,West,Possum,Control,Control,39600,22.5,122.7
2,1,RNM013,M,2,East,Control,Possum,Control,39600,102.2,1174.5
2,2,RNM013,M,2,West,Control,Control,Possum,39600,17.9,395.3
2,2,RNM013,M,2,East,Control,Control,Control,39600,829.6,1557.2
2,3,RNM013,M,2,West,Control,Cat,Control,39600,1289.4,302.5
2,3,RNM013,M,2,East,Cat,Control,Control,39600,321.9,923.4
2,4,RNM013,M,2,West,Possum,Possum,Control,39600,309.9,230.3
2,4,RNM013,M,2,East,Possum,Possum,Cat,39600,993.6,1318.8
2,5,RNM013,M,2,West,Possum,Cat,Possum,39600,439.7,1215.4
2,5,RNM013,M,2,East,Cat,Possum,Possum,39600,157.1,215.2
2,6,RNM013,M,2,West,Cat,Cat,Possum,39600,809.9,1013.2
2,6,RNM013,M,2,East,Cat,Cat,Cat,39600,232.2,36.7
2,7,RNM013,M,2,West,Cat,Control,Cat,39600,26.5,619.8
2,7,RNM013,M,2,East,Control,Cat,Cat,39600,9.9,2242.5
2,8,RNM013,M,2,West,Control,Possum,Cat,39600,773.2,2670.2
2,8,RNM013,M,2,East,Possum,Control,Control,39600,12.5,174.5
2,9,RNM013,M,2,West,Cat,Possum,Control,39600,245.2,3333.2
2,9,RNM013,M,2,East,Possum,Cat,Possum,39600,5.3,492.5
2,1,RNM014,M,3,West,Cat,Control,Control,39600,636.9,1438.4
2,1,RNM014,M,3,East,Control,Cat,Control,39600,0,35.3
2,2,RNM014,M,3,West,Cat,Cat,Cat,39600,1041.4,2017.4
2,2,RNM014,M,3,East,Cat,Cat,Control,39600,57.6,110
2,3,RNM014,M,3,West,Possum,Control,Cat,39600,1851.2,1558.4
2,3,RNM014,M,3,East,Control,Possum,Cat,39600,177.2,273.4
2,4,RNM014,M,3,West,Cat,Possum,Possum,39600,2510.5,1114.4
2,4,RNM014,M,3,East,Possum,Cat,Control,39600,13.4,72.3
2,5,RNM014,M,3,West,Control,Cat,Cat,39600,2352.1,854.7
2,5,RNM014,M,3,East,Cat,Control,Possum,39600,0,73.9
2,6,RNM014,M,3,West,Control,Control,Control,39600,2398.7,1081.2
2,6,RNM014,M,3,East,Control,Control,Cat,39600,27,251
2,7,RNM014,M,3,West,Control,Possum,Control,39600,1711.4,837.9
2,7,RNM014,M,3,East,Possum,Control,Control,39600,76.3,640.7
2,8,RNM014,M,3,West,Possum,Cat,Control,39600,1640.6,1603.7
