conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,91E+18;Mon Apr 07 11:46:21 +0000 2025;0;@heathengangs Mulai membaikmi fashion sense mu mmg nda berkiblat di satria mahatir mi kuliat liat;1,91E+18;;heathengangs;in;Makassar, Indonesia;0;0;0;https://x.com/shutthevuckup/status/1909211137612366236;1,29E+18;shutthevuckup
1,91E+18;Mon Apr 07 06:23:34 +0000 2025;0;@chiseiyuu @21of12 dia satria mahatir ver jember cin;1,91E+18;;chiseiyuu;in;;0;0;0;https://x.com/iBegSasa/status/1909129906384236546;1,74E+18;iBegSasa
1,91E+18;Mon Apr 07 03:25:39 +0000 2025;0;@nativora @manukacaramel Udah di posting si satria mahatir;1,91E+18;;nativora;in;;0;0;0;https://x.com/s_rtlg/status/1909085134374220266;1862806514;s_rtlg
1,91E+18;Sun Apr 06 13:46:34 +0000 2025;0;knp sih dia demen bgt pake hoodie gaya satria mahatir https://t.co/xYtz1dEYem;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1908871932847726592/img/QCbNbGXop7tCS5Z3.jpg;;in;🐠🐈/🧸🐶/🐠🦦;0;1;0;https://x.com/taesankiri/status/1908879002976268553;1,79E+18;taesankiri
1,91E+18;Sun Apr 06 04:52:35 +0000 2025;0;@deduys kembaran satria mahatir ditolak sp yg ga kaget brok;1,91E+18;;deduys;in;bulan;0;0;0;https://x.com/rflyyprm_/status/1908744624514240967;1,63E+18;rflyyprm_
1,91E+18;Sun Apr 06 03:15:25 +0000 2025;0;@wontonkukus satria mahatir;1,91E+18;;wontonkukus;in;;0;0;0;https://x.com/KELAPAB0TAK/status/1908720171889590278;1,62E+18;KELAPAB0TAK
1,91E+18;Sun Apr 06 00:32:24 +0000 2025;0;@p0rnst4rz ko mirip satria mahatir;1,91E+18;;p0rnst4rz;in;Spain;0;0;0;https://x.com/whyoulookathis/status/1908679143560290374;1,88E+18;whyoulookathis
1,91E+18;Sat Apr 05 16:15:30 +0000 2025;0;@Piolina_azahra cape tiap helr;1,91E+18;;Piolina_azahra;in;;0;0;0;https://x.com/SatriaHamd80314/status/1908554097869152467;1,73E+18;SatriaHamd80314
1,91E+18;Sat Apr 05 13:23:10 +0000 2025;0;@naykillau Mwnurut gua jo mirip satria mahatir;1,91E+18;;naykillau;in;;0;1;0;https://x.com/araizhall/status/1908510728883233170;2228319031;araizhall
1,91E+18;Sat Apr 05 08:31:46 +0000 2025;1;gue lagi di kafe trs baristanya ada yg mirip satria mahatir anj lebih tinggi aja dan putihan;1,91E+18;;;in;Medicine UP ⚕;0;0;0;https://x.com/Afflictionist/status/1908437393159688494;1,16E+18;Afflictionist
